2310	["undershirt", "vest"]	Collarless male garment covering torso, worn beneath other clothing or alone.
2311	["nightdress", "nightie", "nightgown"]	Loose sleeveless dress for women’s bedtime, featuring fitted bodice and flared skirt.
2312	["crab"]	Aquatic arthropod crustacean with a broad carapace, short eye stalks, and pincers.
2313	["kangaroo", "wallaby"]	Herbivorous Australian marsupial with powerful hind legs, long tail, upright hopping posture.
2314	["tired", "exhausted", "fatigued"]	A state of depleted strength and energy causing sluggish movement and reduced alertness
2315	["sing"]	Emit melodic vocal tones, expressing emotion, often accompanied by musical notes
2316	["meat"]	Edible animal flesh, including fish, birds, and other species, used as food.
2317	["house"]	A permanent building providing living quarters for families, featuring rooms and a roof
2318	["castanets"]	Pair of handheld wooden percussion pieces clicked together to keep rhythm in dance.
2319	["jacket"]	Short outer garment with collar, zipper, pockets, and decorative trim.
2320	["ladle", "soup ladle"]	Long-handled spoon with shallow bowl used to transfer and serve liquid foods
2322	["CD", "CD-ROM", "compact disc"]	optical storage disc that holds digital data accessed by laser readout
2323	["onion"]	Layered bulbous vegetable with aromatic flavor, green shoots sprout from its top.
2324	["zebra"]	African equine with black and white stripes, herbivorous, terrestrial, viviparous mammal
2325	["Sellotape", "Scotch tape"]	Transparent adhesive tape, typically beige, dispensed from a green plastic holder for sealing.
2326	["brush teeth", "brush the teeth", "clean teeth"]	Use a toothbrush to clean teeth, applying toothpaste in a regular oral hygiene routine.
2327	["pig", "hog"]	Domesticated omnivorous mammal with rounded pink body, small ears, curly tail, four legs.
2328	["cereals", "cereal box", "cereal bowl"]	Breakfast food consisting of processed grain pieces served in a bowl with milk
2329	["cherries"]	Small red fruit containing a single hard pit, sweet flesh, grown on cherry trees.
2330	["beer", "beer glass"]	Fermented cereal beverage flavored with hops, served cold in a frothy mug.
2331	["mushrooms"]	Edible fleshy fungi with rounded caps and stems, growing naturally in moist soil.
2332	["tracksuit", "jogging suit"]	Coordinated jacket and pants of same fabric, styled for athletic or casual wear.
2333	["chimney"]	Vertical flue projecting from a roof, channeling fire smoke out of a building.
2334	["chocolate", "chocolate bar"]	Sweet confection made from roasted ground cacao beans, formed into segmented bars.
2335	["chorizo"]	Spicy Spanish pork sausage, cured and ready to eat, often sliced.
2336	["belt"]	Leather strap with buckle, worn around waist to secure clothing.
2337	["swan"]	Large graceful freshwater bird with long neck, white plumage, orange beak, herbivorous.
2338	["Coca-Cola", "cola", "Coke"]	Trademarked carbonated soft drink flavored with kola nut extract, iconic red branding.
2339	["car", "family touring car", "auto"]	Four-wheeled motor vehicle powered by engine, designed for transporting people.
2340	["toy car"]	Small scaled vehicle with four wheels, red body, black tires, blue windows.
2341	["stove", "kitchen range", "gas cooker"]	Kitchen appliance with burners and oven used to heat and prepare food
2342	["cook", "stew"]	Prepare food by applying heat, often stirring or simmering to create a ready meal.
2343	["crocodile"]	Large aquatic reptile with long snout, powerful jaws, sharp teeth, bony armor.
2344	["rocket", "space rocket"]	Self‑propelled vehicle using rocket engines to ascend through atmosphere into space.
2345	["sieve"]	Perforated bowl with handle used to separate or grade powdered ingredients.
2346	["mat", "gym mat"]	Thick padded rectangular surface used for gymnastics and other indoor sports activities.
2347	["collar", "necklace"]	Ornamental necklace encircling the neck, often jeweled, traditionally worn by women.
2348	["paint", "colour", "colorize", "colorise"]	Apply colored liquid to a surface to create or enhance visual appearance.
2349	["eat", "have", "take in", "ingest", "take"]	To take in solid food by chewing and swallowing, fulfilling nutritional needs.
2350	["kite"]	Light-frame toy with fabric covering, flown outdoors on a string in wind
2351	["rabbit"]	Small burrowing mammal with long ears, short tail, herbivorous, domesticated or wild
2352	["confused", "disoriented"]	Feeling lost, thoughts tangled, unable to discern clarity or direction, experiencing mental disorientation.
2353	["concierge", "superintendent", "porter", "door guard"]	Resident attendant who manages building entry, mail, maintenance, and guest services.
2354	["console", "games console"]	Electronic device that runs video games, connected to controller and disc media
2355	["recycling bin", "bin"]	Green wheeled container with lid for depositing recyclable items, marked by black apple core.
2356	["glass"]	Transparent drinking vessel with rounded bowl, slender stem, and circular base for beverages.
2357	["curtains", "drapes"]	Hanging cloth panels that cover windows, often attached to a rod with ties.
2358	["croissant"]	Golden-brown layered buttery pastry shaped like a crescent, known for flaky texture.
2359	["logbook", "notebook"]	Spiral-bound notebook used for recording notes, observations, or memoranda in education.
2360	["painting", "picture"]	Artwork created by applying pigment to a surface, forming a visual composition.
2361	["bucket and spade"]	A cylindrical open‑top container and a sturdy handheld shovel for beach or gardening play
2362	["spoon"]	A utensil with a shallow bowl and handle for stirring, serving, or scooping food.
2363	["ladle"]	Long-handled spoon-shaped vessel used to scoop and transfer liquids in cooking.
2364	["tale", "storybook"]	A narrative work presenting events or actions, often in written or visual form.
2366	["apron"]	A waist‑tied garment of cloth, leather, or plastic protecting clothing during work.
2367	["pain"]	Sharp bodily sensation indicating tissue damage, often accompanied by distress and physiological response
2368	["donut", "doughnut"]	Sweet fried ring-shaped cake with hole, often glazed and sprinkled.
2369	["sleep"]	Enter a restful state of unconsciousness, fulfilling basic physiological need and routine.
2370	["shower"]	Plumbing fixture that sprays water in a diagonal stream for bathing.
2371	["have a shower", "shower"]	Wash one's body under a running stream of water from a showerhead.
2372	["elephant"]	Large gray mammalian pachyderm with five toes, trunk, tusks, herbivorous diet
2373	["plug"]	Metal device with two or three prongs that connects a cord to a wall socket
2374	["angry", "irritated", "annoyed"]	Intense feeling of hostility, marked by furrowed brows, narrowed eyes, and clenched jaw.
2375	["nurse", "RGN", "nurse clinician"]	Female healthcare professional providing skilled care to patients and young children under physician guidance
2376	["get sick", "come down", "sicken", "fall ill", "get ill"]	Develop illness causing discomfort, nausea, or other adverse health symptoms.
2377	["salad"]	Mixed greens and vegetables tossed with dressing, served as a fresh dish.
2378	["music system", "sound system", "audio system"]	Electronic apparatus comprising a console and speakers that records, processes, and reproduces audio
2379	["stairs", "steps"]	Series of ascending steps with handrail, providing vertical passage within a building
2380	["write", "writing"]	Mark symbols on a surface to convey language or ideas through written expression.
2381	["hear", "listen"]	Perceive sounds through the auditory system, attending to spoken or ambient noises.
2382	["colander", "cullender"]	Bowl-shaped kitchen strainer with perforated sides and handle, used to wash or drain food
2383	["spaghetti"]	Long thin pasta strings traditionally served with tomato sauce on a plate
2384	["asparagus"]	Edible plant shoots, green tips and pale elongated stems, cooked as vegetable.
2385	["mirror"]	Polished oval surface that forms images by reflecting light; decorative object.
2386	["shelves"]	Horizontal planes attached to a frame, providing support for placed objects
2387	["study"]	Engage in focused reading and practice to acquire knowledge in a specific subject.
2389	["stove", "electric heater"]	Compact electric heater with cylindrical body, metal fins, glowing elements, and steam emission
2390	["excavator", "digger"]	Heavy tracked machine with articulated arm and bucket for digging and moving earth.
2391	["skirt"]	Garment piece hanging from waist, covering lower torso, often pleated or flared.
2392	["family"]	Primary social group of father, mother, son, and daughter sharing kinship.
2393	["light post", "streetlight"]	Tall green pole supporting a lantern‑style fixture that illuminates streets.
2394	["figure", "statuette", "figurine"]	Small decorative sculpture representing a bodily form, often artistic and crafted from materials.
2395	["physiotherapist", "physical therapist"]	Health professional who treats injuries using exercises and physical modalities.
2396	["flute", "vertical flute"]	Tubular wind instrument with eight finger holes and a fipple mouthpiece.
2397	["seal"]	Marine mammal with streamlined body, flippers, whiskers; breeds on shore in cold seas.
2398	["paper", "sheets"]	Thin cellulose sheets used for writing, printing, and other educational purposes.
2399	["kitchen sink"]	Central double-basin fixture with single faucet for washing dishes and food preparation.
2400	["strawberry"]	Sweet red fleshy fruit with tiny seeds and green leafy cap
2401	["sensitive to the cold", "shivery", "nesh", "cold-natured", "cold-blooded"]	Experiences shivers and intense discomfort when exposed to low temperatures.
2402	["biscuits", "cookies"]	Small, flat, sweet baked goods often containing chocolate chips, served as dessert.
2403	["hen"]	Adult female chicken, domesticated bird with red comb, yellow beak, and feathered tail
2404	["chicken", "rooster"]	Domesticated bird raised for meat and eggs, bright plumage, red comb, blue tail.
2405	["chickpeas", "stew"]	Round white legume seed used in stews with vegetables, meat or fish.
2406	["cat", "kitten", "pussycat"]	Small carnivorous mammal with soft fur, pointed ears, whiskers; domesticated pet.
2407	["balloon", "hot-air balloon"]	Large flexible envelope filled with heated air, carrying a suspended basket for aerial travel
2408	["balloon"]	Flexible rubber envelope filled with gas, featuring a narrow neck and tied string.
2409	["rubber", "pencil eraser"]	Rectangular eraser attached to pencil, white and light‑blue sections, soft pliable material.
2410	["gorilla"]	Largest terrestrial herbivorous ape from central‑west African forests, robust, brown‑furred.
2411	["cap"]	Tight‑fitting headwear with a curved brim and rounded crown, commonly worn outdoors.
2412	["cap", "ski cap"]	Close‑fitting winter head covering with brim and pom‑pom, providing warmth and protection.
2413	["stapler"]	Handheld device that drives metal staples through papers to bind them together
2414	["tap"]	Mounted faucet with handle that regulates water flow through a spout into sinks or walls
2415	["gloves"]	Handwear covering the hand and wrist, often used as a fashion accessory.
2417	["guitar"]	Six‑string wooden fretted instrument producing acoustic tones when strummed or plucked
2418	["like"]	To find something enjoyable, feeling pleasure and playful approval toward it.
2419	["hamburger", "burger"]	Ground beef patty served between a bun with lettuce, tomato, cheese, and condiments.
2420	["ice cream cone"]	Crisp waffle cone holding a single scoop of sweet ice cream
2421	["helicopter"]	Aircraft that lifts by rotating overhead blades, using a main and tail rotor.
2422	["sister"]	Female sibling sharing both parents with another individual, such as an adult's child.
2423	["brother"]	Male sibling sharing both parents with another person within a family.
2424	["hippopotamus", "hippo"]	Large thick-skinned herbivorous mammal inhabiting African riverbanks, floodplains, and wetlands
2425	["ant"]	Social terrestrial insect forming organized colonies; winged males and queen, wingless worker females
2426	["oven"]	Enclosed heated compartment for baking or roasting food, typically in a kitchen
2427	["egg"]	Oval reproductive body of a bird, containing yolk and protective shell
2428	["fried egg"]	Egg white cooked in oil or butter, surrounding a round orange yolk.
2429	["infusion"]	Steeping or soaking a substance in liquid to extract flavors or active compounds.
2430	["toilet", "lavatory", "toilette"]	Plumbing fixture within a building for disposing waste urine and feces.
2431	["switch", " electric switch"]	Mounted square device that opens or closes circuits to control electrical flow.
2432	["go"]	Change location by moving, traveling, or proceeding toward a direction or goal
2433	["ham"]	Cured pork thigh meat, typically smoked, served cold or cooked.
2434	["garden"]	Cultivated ground with plants, trees, pathways, and colored circular beds beside a house.
2435	["jug", "pitcher"]	A small container with handle and spout, used for storing and pouring liquids
2436	["jersey", "sweater", "jumper"]	Knitted or crocheted upper-body garment, often a long‑sleeved sweater with ribbed neck.
2437	["giraffe"]	Tall African herbivorous mammal with spotted coat, long neck, slender legs, small horns
2438	["green beans"]	Young edible bean pods harvested before ripening, consumed as a vegetable.
2439	["play"]	Engage in recreational activity, interacting socially or solo, for amusement and enjoyment.
2440	["pencil"]	Thin wooden cylinder containing graphite, sharpened tip for writing and drawing, topped with eraser.
2441	["washbasin", "washbowl", "lavatory"]	Installed bathroom sink with water supply and drain for washing hands and face.
2442	["washing machine", " washer"]	Front‑loading appliance that automatically cleans clothes and linens using water, detergent, and rotating drum
2443	["lather the hands", "soap the hands", "handwashing"]	Apply soap to both hands, rub vigorously to create frothy coating for cleaning.
2444	["dishwasher"]	Front-loading appliance that washes and rinses dishes, utensils, and cookware automatically.
2445	["milk", "cows' milk", "pasteurized milk", "whole milk"]	white nutritious liquid secreted by mammals, consumed as a food and beverage
2446	["lettuce"]	Edible green plant with layered, crisp leaves forming a compact, rounded head.
2447	["reading"]	Decoding written or printed symbols to comprehend language and extract meaning.
2448	["lentils"]	Edible round, flat seeds of the lentil plant, commonly cooked and served.
2449	["lion"]	Large tawny gregarious African and Indian predatory feline with male's shaggy mane.
2450	["book"]	Bound collection of printed pages conveying information or narrative, typically for reading.
2451	["keys"]	Metal tools that open locks, often mounted on a circular ring for convenient carrying.
2454	["speech therapist"]	Professional who assesses and improves articulation, language, and communication using therapeutic exercises
2455	["macaroni"]	Short hollow tube-shaped pasta in Italian cuisine, commonly served with sauce
2456	["teacher", "professor", "schoolteacher"]	Female educator who instructs students, designs lessons, and assesses learning in academic settings
2457	["teacher", "professor", "schoolteacher"]	Educator who instructs learners, designs lessons, and assesses understanding in academic settings.
2458	["mum", "mom", "mommy", "mother"]	Affectionate term for a woman who has given birth, caring for her child.
2459	["blanket"]	Soft woven covering placed on a bed to provide warmth and comfort.
2460	["tablecloth"]	Fabric covering spread on a dining table, often decorative and draped with folds.
2461	["butter"]	Yellow dairy emulsion from churned cream, used as spread and cooking ingredient
2462	["apple"]	Round fruit with red, yellow, or green skin and crisp, sweet‑tart whitish flesh
2463	["maracas"]	Handheld pair of hollow gourds filled with seeds, producing rhythmic shaking sounds.
2464	["dizzy", "woozy", "giddy"]	A spinning sensation causing lightheadedness and instability, often leading to loss of balance.
2465	["butterfly"]	Diurnal insect with slender body, knobbed antennae, and broad colorful symmetrical wings.
2466	["tights"]	Form‑fitting knit garment covering legs from waist to feet, often worn by performers.
2467	["doctor"]	licensed medical practitioner providing diagnosis, treatment, and preventive care to individuals
2468	["peach"]	Round orange fruit with downy skin, sweet yellowish flesh, brown stem, green leaf.
2469	["melon"]	Large sweet fruit of cucurbit vines, examples include watermelon, cantaloupe, muskmelon.
2470	["jam", "strawberry jam"]	Sweet spread made by cooking crushed strawberries with sugar into a thick preserve.
2471	["ping pong table", "table-tennis table"]	Rectangular playing surface with net, green top, white border, four supporting legs
2472	["metro", "underground train", "subway", "tube"]	Electric urban rail system running below ground, transporting passengers through city tunnels.
2473	["microwave"]	Kitchen appliance that cooks food using electromagnetic waves absorbed by water molecules.
2474	["see", "look", "look at", "watch", "observe"]	Perceive visual information, direct gaze toward an object, attend to details, observe.
2475	["rucksack", "backpack"]	Portable bag with dual shoulder straps, front zip pocket, and top drawstring closure.
2476	["caregiver", "childminder", "assistant", "helper"]	Individual who provides necessary care, support, and assistance to children or dependent adults
2477	["monkey"]	Long-tailed terrestrial mammal, omnivorous primate, viviparous, walks on all fours, brown.
2478	["fly"]	Two-winged insect with active flight, dark body, translucent light‑blue wings, legs, antennae.
2479	["mosquito"]	Two‑winged arthropod with slender body, long proboscis, feeds on blood.
2480	["motorbike", "motorcycle"]	Two-wheeled motor vehicle with sturdy frame, low seat, small wheels, elevated handlebars.
2482	["doll"]	Miniature human figure designed for play, often clothed and posed.
2483	["orange"]	Citrus fruit, round, yellow‑orange peel, sweet flesh, short stem with green leaf.
2484	["girl", "kid", "little girl"]	Youthful female child, typically pre‑adolescent, often depicted with playful demeanor.
2485	["boy", "child"]	A youthful male child, typically pre‑adolescent, often energetic and playful.
2486	["smell", "sniff"]	Inhale air to detect odors, perceiving scents through the nose.
2487	["computer", "personal computer", "PC"]	Electronic device that automatically processes data using programmable logic, typically includes monitor, keyboard, mouse.
2488	["bear"]	Large plantigrade mammal with shaggy coat, strong claws, omnivorous diet.
2489	["sheep", "lamb"]	Woolly horned ruminant mammal domesticated for grazing, wool, and draft work
2490	["bird"]	Warm-blooded vertebrate with feathers, egg-laying, winged forelimbs, small and often flying.
2492	["paddle"]	Flat‑tailed wooden bat for striking balls in leisure sports like table tennis.
2493	["pigeon"]	Medium-sized bird with heavy body, short legs, white plumage, yellow beak, curved neck.
2494	["bread", "bread stick", "French bread", "baguette"]	Long French loaf of wheat dough, leavened, baked to a crisp, golden crust.
2495	["tambourine"]	Circular percussion instrument featuring a single drumhead and metal jingles around its rim.
2496	["kitchen cloth", "dishtowel", "tea towel", "drying-up cloth"]	Absorbent cotton towel used for drying dishes, often patterned and hung in kitchens.
2497	["father"]	Male parent who biologically or legally cares for and raises a child.
2498	["litter basket", "litter bin", "litterbin"]	Cylindrical outdoor container with green lid for public trash disposal.
2499	["stop", "bus stop"]	Designated shelter on a route where passengers board or alight buses.
2500	["umbrella"]	Lightweight handheld collapsible canopy with colored panels, central pole, curved handle.
2501	["ludo", "parchisi", "parcheesi", "pachisi"]	Cross‑shaped board game where four players move tokens along colored tracks to a central zone
2502	["cake", "chocolate cake"]	Layered baked dessert combining flour, sugar, eggs, butter, often flavored with chocolate.
2503	["potato"]	Starchy underground tuber of the Solanaceae family, cultivated worldwide as a vegetable.
2505	["crisps", "chips", "french fries"]	Golden‑yellow elongated pieces of deep‑fried potato, served as snack food.
2506	["skates", "roller skates"]	Footwear equipped with wheels allowing gliding propulsion by alternating leg movements.
2507	["skateboard"]	Four-wheeled board ridden standing or crouching, propelled by foot for sport.
2508	["scooter"]	Light blue two-wheeled transport with footplate, handlebars, and wheels for riding.
2509	["turkey"]	Large domesticated bird with fan-shaped tail, yellow body, brown head, red wattle
2510	["glue"]	Sticky cement used to bond materials together, often packaged in sticks or bottles.
2511	["paste", "glue"]	Attach or join material to a surface using adhesive, as in copying text.
2512	["comb"]	to straighten hair using a toothed implement, often performed by a hairdresser
2514	["tennis ball"]	Bright yellow, fist-sized sphere with white curved seam used in tennis
2515	["ear-rings", "earrings"]	Ornamental jewelry pieces attached to the ear, typically via a hook or pierced lobe.
2517	["dog"]	Domesticated canid species, terrestrial mammal, carnivorous, viviparous, kept as pet, many breeds.
2518	["window blind", "blind"]	Adjustable covering with horizontal slats, top casing, bottom rail, knobs, pull cord.
2519	["fish"]	Edible flesh of aquatic vertebrates served as cuisine, commonly prepared raw or cooked.
2520	["fish"]	Cold-blooded aquatic vertebrate with scales, gills, fins, and diverse diets.
2521	["piano", "grand piano"]	Large horizontal-string keyboard instrument where pressing keys triggers hammers to strike tuned strings
2522	["pyjama", "pajama"]	Loose-fitting two-piece nightwear set with a shirt and matching trousers
2523	["paintbrush"]	Handheld brush with bristles for applying paint to artistic surfaces
2525	["pineapple"]	Tropical plant bearing large sweet yellow fruit with diamond-patterned rind and spiky green crown
2526	["blackboard", "chalkboard"]	Green slate board framed in wood, used for chalk writing in classrooms.
2527	["pizza"]	Italian open pie of thin dough topped with tomato sauce, cheese, and assorted toppings
2528	["iron"]	Heated flat metal appliance with soleplate, used to smooth fabrics.
2529	["plasticine"]	Synthetic soft modeling compound resembling clay, used for educational sculpting and projects.
2530	["banana"]	Elongated, curved, yellow fruit with soft sweet flesh and small brown stem.
2531	["cymbals"]	Concave brass disks struck together or with sticks, producing loud crashing sounds.
2532	["plate"]	Flat oval dish with decorative borders used for presenting and eating meals
2533	["chicken", "chick"]	Young domestic bird, herbivorous, oviparous vertebrate, yellow chick with orange beak.
2534	["chicken thigh"]	Upper leg portion of a chicken, containing bone joint, roasted golden-brown meat.
2535	["goal"]	Framed opening in football where players aim to send the ball to score.
2537	["wristband", "bracelet"]	Circular band of colored segments worn around the wrist as decorative accessory
2538	["hole punch", "bradawl", "awl"]	Handheld red tool with metal tip that creates small holes for pins or brads
2539	["puree"]	Smooth, cooked food blended or strained into a thick, uniform consistency.
2540	["puzzle"]	A leisure game where interlocking pieces must be arranged to form a complete picture.
2541	["cheese"]	Firm dairy product made from pressed curd of milk, often wheel-shaped.
2542	["ramp"]	Smooth inclined surface linking two levels, designed for wheelchair accessibility in buildings.
2543	["frog"]	Green amphibian with stout body, long hind limbs, leaping ability, freshwater habitat
2544	["racquet", "tennis racquet", "tennis racket"]	Stringed implement for striking a tennis ball, featuring a frame, strings, and grip.
2545	["rip", "tear"]	Pull apart material swiftly, creating a jagged opening, as when tearing paper.
2546	["mouse"]	Small terrestrial mammal with pointed snout, rounded body, whiskers, and curved hairless tail
2547	["cut out", "scissor"]	Separate and shape material by slicing with scissors, producing a distinct piece.
2548	["net"]	Flexible mesh barrier dividing courts in tennis, badminton, and similar games.
2549	["watch", "wristwatch"]	Portable timekeeping device worn on the wrist, displaying hours, minutes, and seconds
2550	["rhinoceros"]	Large herbivorous odd-toed mammal from Africa and Asia with one or two horns.
2551	["sheets", "bed sheets"]	Rectangular pieces of cotton or linen cloth used as bedding, often paired together.
2552	["corkscrew", " bottle screw"]	Handheld tool with a spiral worm, lever, and bottle cap opener for extracting corks
2553	["pencil sharpener", "sharpener"]	Rotary device that sharpens pencil points, featuring a silver blade and green housing.
2554	["saltcellar"]	Small glass container with perforated lid for sprinkling granulated salt at the table
2555	["sausages"]	Cylindrical meat products, highly seasoned, minced and encased, often reddish-brown.
2556	["sandals"]	Open-toe footwear with sole attached by straps across foot and instep
2557	["water melon", "watermelon"]	Large green‑rinded fruit with sweet red or yellow flesh and black seeds
2558	["frying pan", "frypan"]	Shallow metal pan with handle, used for cooking foods by frying.
2559	["saxophone"]	Brass-colored single‑reed woodwind instrument with conical bore, curved neck, flared bell.
2560	["hairdryer", "blow drier", "hair dryer"]	Portable electric device that directs heated airflow to style hair.
2561	["pear"]	Sweet, juicy, gritty‑textured fruit with edible flesh surrounding a central core.
2562	["parakeet", "budgerigar", "budgie"]	Small, slender, long‑tailed green and yellow parrot, herbivorous, domesticated flying pet bird
2563	["duck"]	Small web‑footed bird with broad bill, gray body, orange beak, orange feet, swims and flies.
2564	["tambourine"]	Handheld circular drum with skin head and metal jingles around its frame
2565	["trousers", "pant"]	Separate-leg garment covering waist to ankle, often with button, belt loops, and pockets.
2566	["dry", "dry the hands", "dry out"]	Remove moisture from something, such as wiping damp hands with a towel.
2567	["traffic lights", "traffic signal", "stoplight"]	Vertical visual system with red, yellow, green lights regulating vehicle flow at intersections.
2568	["snake", "serpent"]	Limbless scaly elongated reptile with forked tongue, often venomous, carnivorous vertebrate.
2569	["napkin", "serviette"]	Small cloth placed on a table to wipe mouth and protect clothing.
2570	["armchair"]	Upholstered seat with side arm supports, cushioned back, and legs for sitting.
2571	["sofa", "couch"]	Upholstered seating furniture designed for multiple occupants, featuring back cushions, divided seat, and armrests.
2572	["hat", "fedora", "felt hat"]	Head covering with shaped crown and brim, often felt, providing weather protection.
2573	["soup"]	Brothy liquid dish with meat, fish, or vegetables and suspended pieces.
2574	["surprised"]	Sudden feeling of wonder and astonishment, as shown by widened eyes.
2575	["floor"]	Horizontal lower interior surface of a room or structure that supports occupants.
2576	["bra"]	Women's undergarment with cups and straps that supports the breasts
